Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,777.00,798.35,771.45,790.70,782.903944514366815735,37343,1199,29235982.00,8789,23.54,26.90,13.70
4-January-2021,766.00,779.50,766.00,778.20,773.466408035606880789,33252,1018,25719305.00,10270,30.89,13.50,12.20
1-January-2021,760.00,768.70,755.80,766.80,763.723081317067199804,24509,823,18718089.00,6815,27.81,12.90,6.80
31-December-2020,756.00,761.75,746.05,759.35,753.333429394812680115,55520,1423,41825072.00,26491,47.71,15.70,3.35
30-December-2020,746.00,755.90,738.20,753.35,749.023923551062037160,45102,1026,33782477.00,23630,52.39,17.70,7.35
29-December-2020,743.90,751.75,732.20,742.95,742.993406554968694253,57178,2025,42482877.00,16667,29.15,19.55,-0.95
28-December-2020,733.65,742.95,728.00,740.90,733.499913951353832033,34864,964,25572741.00,12602,36.15,14.95,7.25
24-December-2020,736.60,738.50,722.00,730.05,728.416429138825288537,21401,1191,15588840.00,6038,28.21,16.50,-6.55
23-December-2020,718.80,736.75,711.00,733.60,726.948774149106052540,31937,1069,23216563.00,14202,44.47,25.75,14.80
22-December-2020,699.60,715.95,682.55,712.40,697.063369279426894790,26243,1062,18293034.00,7117,27.12,33.40,12.80
21-December-2020,709.65,713.80,682.30,694.90,702.763608861316943343,52227,1703,36703235.00,15828,30.31,31.50,-14.75
18-December-2020,713.95,719.95,704.70,709.65,710.217167982143577469,74371,2621,52819561.00,15887,21.36,15.25,-4.30
17-December-2020,693.00,711.50,689.00,709.60,704.826688524590163934,61000,2662,42994428.00,18595,30.48,22.50,16.60
16-December-2020,687.00,692.00,684.95,689.80,688.396537859228848351,23627,2157,16264745.00,9397,39.77,7.05,2.80
15-December-2020,687.00,687.00,675.90,684.10,680.117484152870945904,16249,505,11051229.00,5986,36.84,11.10,-2.90
14-December-2020,679.55,686.45,678.30,680.85,682.245359108948918192,15622,618,10658037.00,2541,16.27,8.15,1.30
11-December-2020,681.00,682.00,670.70,677.15,676.296933433059087509,30751,1287,20796807.00,7139,23.22,11.30,-3.85
10-December-2020,680.50,682.20,673.25,679.80,677.989320522568604410,28934,1388,19616943.00,8178,28.26,8.95,-0.70
9-December-2020,670.00,687.65,663.85,679.10,675.927313266443701226,17940,619,12126136.00,7412,41.32,23.80,9.10
8-December-2020,672.30,677.30,662.85,667.95,670.564066154360173738,11972,564,8027993.00,4203,35.11,14.45,-4.35
7-December-2020,671.80,679.50,666.50,672.20,672.758234057463209530,19978,1355,13440364.00,8081,40.45,13.00,0.40
4-December-2020,665.05,672.80,661.55,671.25,667.242957875123305688,27371,1792,18263107.00,13602,49.69,11.25,6.20
3-December-2020,660.10,673.30,660.10,670.15,667.893657804817068089,35997,1698,24042168.00,17575,48.82,13.20,10.05
2-December-2020,660.00,667.50,658.00,665.25,663.325438484188964281,31244,1221,20724940.00,8410,26.92,9.50,5.25
1-December-2020,643.00,657.20,643.00,655.45,654.180277216286456829,34630,1987,22654263.00,18879,54.52,14.20,12.45
27-November-2020,637.60,652.65,637.60,648.40,645.944745113794814832,42313,1831,27331860.00,19201,45.38,15.05,10.80
26-November-2020,632.10,640.90,626.45,639.60,633.904083512434755910,16285,667,10323128.00,1962,12.05,14.45,7.50
25-November-2020,644.85,644.85,631.20,635.80,635.654035154035154035,31746,1898,20179473.00,8475,26.70,13.65,-9.05
24-November-2020,648.00,649.80,639.00,642.20,642.055727391874180865,19075,827,12247213.00,5716,29.97,10.80,-5.80
23-November-2020,643.00,647.30,634.60,643.95,640.788254024411816734,11306,681,7244752.00,3732,33.01,12.70,0.95
20-November-2020,644.80,647.20,639.00,642.95,642.751882558758652163,13147,647,8450259.00,3979,30.27,8.20,-1.85
19-November-2020,655.00,655.00,634.90,636.40,641.566195939982347749,9064,675,5815156.00,3100,34.20,20.10,-18.60
18-November-2020,647.25,652.55,637.70,651.55,646.657343076185912793,33392,1739,21593182.00,14881,44.56,14.85,4.30
17-November-2020,652.05,653.15,640.00,647.25,645.423475536273800915,33192,1758,21422896.00,10424,31.41,13.15,-4.80
14-November-2020,650.00,653.40,648.05,652.05,652.005960729312762973,2852,233,1859521.00,1604,56.24,5.35,2.05
13-November-2020,650.00,655.55,645.05,648.95,650.310270816236348715,15841,631,10301565.00,3686,23.27,10.50,-1.05
12-November-2020,650.00,655.90,644.55,651.30,650.981715967004676088,19033,733,12390135.00,1914,10.06,11.35,1.30
11-November-2020,643.35,651.70,637.75,648.05,646.492540819922471514,51078,2256,33021546.00,31754,62.17,13.95,4.70
10-November-2020,653.50,653.55,638.60,641.45,645.030684378155830031,38619,1243,24910440.00,3339,8.65,14.95,-12.05
9-November-2020,659.00,659.00,643.50,653.20,649.738472210887129682,24506,1821,15922491.00,4265,17.40,15.50,-5.80
6-November-2020,661.70,675.45,626.55,649.25,654.183830905520154852,141554,3292,92602338.00,17938,12.67,48.90,-12.45
5-November-2020,642.05,650.25,640.25,646.95,646.011058552799795448,31288,1350,20212394.00,7521,24.04,10.00,4.90
4-November-2020,632.90,639.10,628.85,637.85,634.440418218275565740,27928,873,17718652.00,3272,11.72,10.25,4.95
3-November-2020,628.65,636.60,624.65,631.90,630.617196397142561341,19318,838,12182263.00,6349,32.87,11.95,3.25
2-November-2020,628.90,629.50,618.20,628.30,623.841836734693877551,25872,913,16140036.00,5736,22.17,11.30,-0.60
30-October-2020,634.45,637.95,617.45,622.65,627.902567214766637658,87332,3094,54835987.00,15460,17.70,20.50,-11.80
29-October-2020,596.00,634.95,596.00,630.00,620.460108413498244006,52392,2170,32507146.00,10594,20.22,38.95,34.00
28-October-2020,610.50,624.95,603.90,606.40,614.289043071200183904,47851,2299,29394345.00,11506,24.05,21.05,-4.10
27-October-2020,594.90,611.05,588.70,609.15,601.462415021042408546,30890,1165,18579174.00,7591,24.57,22.35,14.25
26-October-2020,608.85,609.25,591.05,595.40,600.527696451575125892,8539,532,5127906.00,3433,40.20,18.20,-13.45
23-October-2020,610.80,614.00,607.50,608.85,610.600492269825398046,13001,1135,7938417.00,7036,54.12,6.50,-1.95
