Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2021,115.25,124.00,115.25,123.30,120.806591169359969461,7859,293,949419.00,4659,59.28,8.75,8.05
6-January-2021,113.95,116.00,110.20,113.80,113.874176548089591567,1518,76,172861.00,1181,77.80,5.80,-0.15
5-January-2021,114.00,114.40,111.50,114.05,112.895899053627760252,951,45,107364.00,886,93.16,2.90,0.05
4-January-2021,113.70,115.40,113.05,114.15,114.159267480577136514,1802,71,205715.00,1610,89.35,2.35,0.45
1-January-2021,116.00,116.00,114.35,115.15,115.445414847161572052,687,22,79311.00,636,92.58,1.65,-0.85
31-December-2020,117.50,117.50,115.00,115.35,116.049568276303165973,6254,350,725774.00,5146,82.28,2.50,-2.15
30-December-2020,120.00,120.00,113.50,113.90,114.972285067873303167,5304,246,609813.00,2225,41.95,6.50,-6.10
29-December-2020,113.30,113.30,111.10,111.60,111.456818181818181818,880,28,98082.00,585,66.48,2.20,-1.70
28-December-2020,113.50,113.50,111.95,112.90,112.090909090909090909,209,49,23427.00,188,89.95,1.55,-0.60
24-December-2020,115.75,115.75,112.10,112.55,113.048201269691982130,4253,162,480794.00,3430,80.65,3.65,-3.20
23-December-2020,110.20,111.30,108.50,109.05,109.544843049327354260,2230,124,244285.00,833,37.35,2.80,-1.15
21-December-2020,114.95,115.00,108.20,108.90,111.304112337011033099,9970,249,1109702.00,7921,79.45,6.80,-6.05
18-December-2020,113.50,115.75,112.35,115.35,113.977272727272727272,440,30,50150.00,364,82.73,3.40,1.85
16-December-2020,116.00,116.00,114.00,115.15,115.226190476190476190,2016,31,232296.00,1924,95.44,2.00,-0.85
15-December-2020,114.40,116.00,112.50,116.00,115.366626065773447015,2463,142,284148.00,1917,77.83,3.50,1.60
14-December-2020,115.60,116.30,115.00,115.80,115.489705882352941176,680,29,78533.00,642,94.41,1.30,0.20
11-December-2020,116.05,118.40,113.60,115.50,114.918828451882845188,1195,62,137328.00,1166,97.57,4.80,-0.55
10-December-2020,113.50,116.20,113.50,116.05,115.810113519091847265,2907,40,336660.00,2852,98.11,2.70,2.55
9-December-2020,115.85,116.70,113.55,114.50,114.338668913226621735,1187,35,135720.00,1004,84.58,3.15,-1.35
8-December-2020,115.00,117.00,113.55,114.70,114.995405819295558958,2612,99,300368.00,2472,94.64,3.45,-0.30
7-December-2020,113.10,116.95,112.65,115.05,116.151414309484193011,5409,308,628263.00,3932,72.69,4.30,1.95
4-December-2020,113.20,113.20,111.40,112.00,112.002152852529601722,929,39,104050.00,899,96.77,1.80,-1.20
3-December-2020,110.20,114.05,110.00,113.10,111.934527911784975878,1451,68,162417.00,1200,82.70,4.05,2.90
2-December-2020,110.00,112.00,110.00,111.55,111.412009237875288683,2165,48,241207.00,2037,94.09,2.00,1.55
1-December-2020,106.25,111.20,106.15,110.40,109.190476190476190476,3003,68,327899.00,2903,96.67,5.05,4.15
27-November-2020,108.05,109.00,107.55,107.90,108.830584707646176911,667,17,72590.00,606,90.85,1.45,-0.15
26-November-2020,111.60,111.60,108.05,108.60,109.310181904086935979,4233,112,462710.00,2387,56.39,3.55,-3.00
25-November-2020,109.05,109.80,105.50,107.90,106.434959349593495934,984,22,104732.00,913,92.78,4.30,-1.15
24-November-2020,108.80,108.95,106.95,108.95,108.201780415430267062,337,13,36464.00,328,97.33,2.00,0.15
23-November-2020,110.00,110.20,106.00,107.00,108.078534031413612565,955,34,103215.00,373,39.06,4.20,-3.00
20-November-2020,111.00,111.85,108.85,110.20,110.550084889643463497,1767,65,195342.00,1244,70.40,3.00,-0.80
19-November-2020,108.85,110.20,107.30,110.00,108.611295681063122923,602,35,65384.00,487,80.90,2.90,1.15
18-November-2020,107.35,108.95,103.80,108.75,107.137279596977329974,794,21,85067.00,773,97.36,5.15,1.40
17-November-2020,105.45,107.55,105.45,106.50,106.360759493670886075,632,20,67220.00,598,94.62,2.10,1.05
14-November-2020,104.65,107.90,104.65,105.95,106.245989304812834224,187,21,19868.00,139,74.33,3.25,1.30
13-November-2020,106.00,107.20,104.95,107.00,106.875311720698254364,401,32,42857.00,320,79.80,2.25,1.00
12-November-2020,104.10,108.80,104.10,106.90,104.899814471243042671,539,21,56541.00,500,92.76,4.70,2.80
11-November-2020,107.60,109.90,105.85,108.20,107.555359037849310222,2827,179,304059.00,2064,73.01,4.05,0.60
10-November-2020,106.55,109.75,105.20,107.40,107.684158415841584158,2020,100,217522.00,1880,93.07,4.55,0.85
