Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,15.97,15.97,12.74,14.90,13.461420345489443378,5210,33,70134.00,2619,50.27,3.23,-1.07
4-January-2021,15.90,15.90,14.10,14.99,14.345528455284552845,4674,29,67051.00,4025,86.11,1.80,-0.91
31-December-2020,15.30,16.25,14.40,15.00,15.167446915231566627,11962,40,181433.00,11811,98.74,1.85,-0.30
30-December-2020,14.00,16.90,14.00,15.06,15.909557235421166306,3704,23,58929.00,3498,94.44,2.90,1.06
29-December-2020,15.36,15.36,13.83,15.10,15.182546036829463570,1249,16,18963.00,1204,96.40,1.53,-0.26
28-December-2020,13.85,15.36,13.64,14.30,15.006521739130434782,920,11,13806.00,666,72.39,1.72,0.45
24-December-2020,13.03,15.00,13.03,13.80,14.881562368752624947,2381,16,35433.00,2200,92.40,1.97,0.77
22-December-2020,14.00,14.90,13.60,14.90,14.068259385665529010,293,9,4122.00,291,99.32,1.30,0.90
21-December-2020,14.16,15.10,14.16,14.32,14.624081632653061224,2450,17,35829.00,2164,88.33,0.94,0.16
18-December-2020,14.20,15.50,14.20,14.90,14.955503512880562060,4697,32,70246.00,4195,89.31,1.30,0.70
17-December-2020,13.71,14.79,13.61,14.21,14.369167599850690556,2679,21,38495.00,2153,80.37,1.18,0.50
16-December-2020,14.89,14.89,13.60,14.04,13.992384769539078156,2495,29,34911.00,1911,76.59,1.29,-0.85
15-December-2020,18.98,18.98,12.80,13.94,13.939383852953141758,27039,131,376907.00,14989,55.43,6.18,-5.04
14-December-2020,13.71,15.98,12.61,15.98,14.951503448275862068,18125,52,270996.00,11932,65.83,3.37,2.27
11-December-2020,12.50,13.91,12.50,13.32,13.387956564659427443,1013,15,13562.00,1003,99.01,1.41,0.82
10-December-2020,14.20,14.45,12.22,12.61,13.039259495691030960,6266,28,81704.00,5901,94.17,2.23,-1.59
9-December-2020,14.20,15.25,14.20,14.32,14.727200634417129262,1261,11,18571.00,1160,91.99,1.05,0.12
8-December-2020,14.73,16.79,14.73,15.10,15.240075614366729678,6877,31,104806.00,6675,97.06,2.06,0.37
7-December-2020,14.00,14.88,13.30,14.05,13.939368538697960324,3579,22,49889.00,3576,99.92,1.58,0.05
4-December-2020,14.88,15.00,13.27,14.01,14.102679143699525701,15602,40,220030.00,11383,72.96,1.73,-0.87
3-December-2020,11.23,15.00,11.23,14.70,14.274844484903656501,13182,75,188171.00,7934,60.19,3.77,3.47
2-December-2020,10.85,12.99,10.85,12.54,12.425720620842572062,1804,21,22416.00,1127,62.47,2.14,1.69
1-December-2020,10.23,13.87,10.23,11.42,11.610802469135802469,3240,51,37619.00,1161,35.83,3.64,1.19
27-November-2020,12.05,12.05,10.80,11.61,11.369769427839453458,1171,8,13314.00,1129,96.41,1.25,-0.44
26-November-2020,11.45,13.23,11.00,11.79,11.599810336652441915,2109,16,24464.00,2109,100.00,2.23,0.34
25-November-2020,10.31,11.97,10.31,11.40,11.132352941176470588,272,6,3028.00,236,86.76,1.66,1.09
24-November-2020,12.00,12.00,10.80,11.05,10.937943262411347517,564,7,6169.00,541,95.92,1.20,-0.95
