averageRating,numVotes
7.4,10544
8.2,43815
7.3,17242
6.3,22620
7.7,14155
8.1,57078
8.3,112304
8.1,10495
7.7,12342
7.6,10834
7.9,88408
7.8,10143
8.1,18280
8.1,12579
8.2,41465
8.0,52782
8.2,100251
7.6,16646
8.1,13868
7.3,10314
8.3,159129
8.1,80562
8.1,46698
7.5,11388
8.1,10358
8.1,29889
8.1,47214
7.9,13147
8.4,22425
7.7,45872
8.0,57090
7.5,13510
7.7,13555
7.2,11993
7.3,12789
8.5,166620
7.5,46518
7.8,64961
8.3,142536
7.5,11352
7.7,17724
7.6,12495
7.9,41958
7.4,17264
7.6,11731
8.2,11592
7.1,10528
7.1,23485
7.8,25169
8.0,11413
8.0,12930
7.5,15775
7.8,55428
7.4,10682
7.7,30386
7.9,78574
7.8,14414
8.1,93369
6.8,16901
8.0,26374
7.3,14836
7.6,51556
7.8,43295
7.7,12915
7.7,20706
7.9,30447
7.7,17394
7.9,11173
8.5,216300
7.9,19612
8.0,20969
7.5,12476
7.0,14867
7.6,12231
7.7,17646
7.6,12908
8.1,33679
7.7,11957
7.6,180609
7.9,46985
7.6,10429
7.9,19745
7.9,54829
7.8,14479
7.5,11964
7.8,47114
7.9,23233
7.7,10193
8.1,288524
7.3,10919
7.8,10348
8.1,106419
7.9,18857
7.7,12476
8.0,12680
8.0,26578
7.8,43306
8.0,370328
7.8,12539
7.6,16340
7.7,88194
7.5,18361
8.0,85355
8.4,201833
7.9,53314
7.6,11651
7.9,63146
7.4,130529
8.1,123175
8.1,28131
7.4,11858
7.8,10867
8.3,400353
7.2,119107
7.5,15062
7.7,21245
7.8,19019
8.0,10388
8.0,148318
7.6,12119
7.7,15322
7.9,23892
7.4,32578
7.3,23863
7.3,130635
8.5,519128
7.3,19978
7.4,13486
7.7,22485
7.6,15839
7.9,15117
7.5,10726
7.2,23246
6.4,78723
8.2,29378
7.7,14051
7.1,11036
8.1,13125
7.9,11273
8.0,20755
7.8,59233
8.0,64853
8.3,142665
7.8,24423
8.0,57072
7.0,10541
8.0,42479
7.6,26326
7.5,20883
7.6,12008
7.8,30872
7.7,14021
7.5,12962
8.0,35403
7.6,10932
7.4,15084
8.4,18137
7.6,10916
7.9,33370
8.0,22641
7.5,11766
7.8,14481
7.6,43262
6.4,12359
7.9,24097
7.9,78513
7.7,27778
7.8,21983
8.6,401947
7.8,19104
8.1,19347
7.8,21424
7.9,91882
7.5,18460
8.0,23245
7.1,11330
7.4,23988
7.6,14828
7.8,21592
7.5,17612
7.2,14730
7.9,10520
7.9,15666
7.9,41284
7.9,15808
8.0,32554
6.6,10064
7.4,14700
7.5,16349
7.6,15239
7.8,36855
8.3,145313
7.6,26787
8.0,10970
7.3,10202
7.6,12083
7.8,11287
7.8,27999
8.1,30714
8.0,129004
8.2,113693
7.7,10333
7.5,19337
7.0,13133
7.5,13242
8.3,14424
8.1,13755
8.0,34321
7.9,15170
7.4,15912
