"","x"
"1",6.545327546
"2",9.695725294
"3",7.908577372
"4",9.644686186
"5",13.11790156
"6",9.865699285
"7",7.983538749
"8",9.185643291
"9",10.52481526
"10",9.907144036
"11",12.41567468
"12",9.842536618
"13",10.11474435
"14",7.741804913
"15",11.74369908
"16",11.10901573
"17",6.125023225
"18",8.990423568
"19",13.66194433
"20",9.925376601
"21",8.391883761
"22",10.98563453
"23",9.728754321
"24",4.84786572
"25",9.107934698
"26",10.53880276
"27",6.019587615
"28",11.47096011
"29",9.30067994
"30",11.22070324
"31",9.108157106
"32",7.6569053
"33",9.791157494
"34",12.33553349
"35",8.674428659
"36",5.999683584
"37",7.365721532
"38",11.73176487
"39",11.99384906
"40",10.56080322
"41",7.009280328
"42",9.778170297
"43",9.404460488
"44",9.305919726
"45",10.90313344
"46",8.670612059
"47",8.595390968
"48",8.757848246
"49",9.466844628
"50",10.34412917
"51",9.583334156
"52",7.356136115
"53",12.66060829
"54",7.291394803
"55",7.707348733
"56",12.4427758
"57",7.318675918
"58",9.263967737
"59",8.535587787
"60",10.56672132
"61",10.43950373
"62",9.152485526
"63",5.452396011
"64",7.864094249
"65",10.83593399
"66",8.727707409
"67",7.67355378
"68",7.929268213
"69",11.7001978
"70",5.50772546
"71",11.39485755
"72",9.561044781
"73",6.396209637
"74",14.43328665
"75",6.603424287
"76",8.953280957
"77",10.46876591
"78",7.868600797
"79",9.174156369
"80",11.79697094
"81",7.347647946
"82",8.513117758
"83",9.801639539
"84",7.642783495
"85",9.488140719
"86",9.448455407
"87",9.547454109
"88",10.25199688
"89",9.517662527
"90",9.571497568
"91",7.954775898
"92",7.616181971
"93",7.786419131
"94",7.974770554
"95",9.376716773
"96",10.13041119
"97",5.995162465
"98",10.66508807
"99",13.48590211
"100",13.13550272
"101",14.28337631
"102",8.499571888
"103",8.038840292
"104",12.55221108
"105",8.481125219
"106",6.752830037
"107",8.917016158
"108",9.696350967
"109",9.865124045
"110",7.436274389
"111",10.6230741
"112",9.741308171
"113",7.49272239
"114",8.971541851
"115",8.953338638
"116",9.873745869
"117",5.934475676
"118",9.217338105
"119",11.54385841
"120",12.12693245
"121",11.440085
"122",9.639688906
"123",7.339930234
"124",9.418263028
"125",8.751689442
"126",9.473903033
"127",5.989828326
"128",9.112083391
"129",8.3049369
"130",7.321003667
"131",10.77843724
"132",11.37913787
"133",8.71512182
"134",7.700887582
"135",10.99648341
"136",10.83098949
"137",6.910960814
"138",10.66874578
"139",12.16184146
"140",9.608070693
"141",9.057727188
"142",10.72685531
"143",11.15243272
"144",7.914841163
"145",10.24977707
"146",8.556969072
"147",11.02553697
"148",7.794796592
"149",8.835321426
"150",9.835641118
"151",7.623917091
"152",11.35791787
"153",10.64085605
"154",9.944147937
"155",7.221218838
"156",7.027392647
"157",11.47679844
"158",11.43017933
"159",6.815382573
"160",9.422329646
"161",7.336177529
"162",7.843630982
"163",12.2619677
"164",11.09269653
"165",10.59847432
"166",7.215965242
"167",8.322705387
"168",12.16385746
"169",9.115850384
"170",7.866705838
"171",7.100252141
"172",8.801967371
"173",5.937394543
"174",10.2790297
"175",13.7602664
"176",6.978795303
"177",10.33375759
"178",13.20368581
"179",7.996983049
"180",9.007837956
"181",9.539818255
"182",10.77719762
"183",9.980954588
"184",9.643157664
"185",10.75231248
"186",7.213505259
"187",8.766854094
"188",9.917247733
"189",11.18146539
"190",6.675664009
"191",8.521208011
"192",11.28376759
"193",8.712733086
"194",10.60095345
"195",8.639210717
"196",10.76947184
"197",9.582074031
"198",9.740809374
"199",12.58846351
"200",9.217819295
"201",8.175381324
"202",9.341327303
"203",9.167791043
"204",9.501352476
"205",11.69402239
"206",9.773254093
"207",8.66150273
"208",9.937935067
"209",8.616715518
"210",9.575204523
"211",11.78003877
"212",6.389988783
"213",6.206162505
"214",8.156023833
"215",9.813739989
"216",12.61335772
"217",8.003770349
"218",11.00027328
"219",13.3077962
"220",8.081956173
"221",11.5979498
"222",11.94371602
"223",13.37414337
"224",12.31683019
"225",8.550618081
"226",9.861727066
"227",10.1251127
"228",8.815999119
"229",7.123007113
"230",9.787058538
"231",9.853076577
"232",7.492246355
"233",13.38826774
"234",13.0638518
"235",9.633905815
"236",12.15958156
"237",9.588812172
"238",8.591399536
"239",8.112720618
"240",8.643876272
"241",10.15997484
"242",8.647011824
"243",7.925930237
"244",12.08603326
"245",7.643331832
"246",10.04429851
"247",7.460209492
"248",12.55562879
"249",8.704145638
"250",11.69924889
"251",9.937843824
"252",12.49898884
"253",8.409740117
